ID logement;Type
236.60000000000002;COFFRE
1260.5;COFFRE
443.70000000000005;COFFRE
250.8;COFFRE
358.9;COFFRE
280.8;FOUR ÉLECTRIQUE + PLAQUES GAZ
224.3;FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
483.1;FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
255.5;FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
542.3;FOUR+PLAQUES ÉLECTRIQUES
509.6;FOUR+PLAQUES ÉLECTRIQUES
46.0;FOUR+PLAQUES ÉLECTRIQUES
418.9;FOUR+PLAQUES ÉLECTRIQUES
340.1;FOUR+PLAQUES ÉLECTRIQUES
147.6;FOUR+PLAQUES ÉLECTRIQUES
279.3;FOUR+PLAQUES ÉLECTRIQUES
385.6;FOUR+PLAQUES ÉLECTRIQUES
208.8;FOUR+PLAQUES ÉLECTRIQUES
443.9;FOUR+PLAQUES ÉLECTRIQUES
2.8;BLENDER
1.4;CUISSEUR VAPEUR
34.2;CUISSEUR VAPEUR
37.2;CUISSEUR VAPEUR
47.5;FRITEUSE
29.3;FRITEUSE
43.8;FRITEUSE
6.6;GRILLE PAIN
10.6;GRILLE PAIN
3.3;RACLETTE
38.900000000000006;RICE COOKER
6.5;RICE COOKER
1854.5;CETI
1667.2;CETI
1333.6;CETI
2590.3999999999996;JOULE / CETI
1804.6999999999998;JOULE
2370.5;JOULE
1493.0;JOULE
2869.2;JOULE
1075.8;JOULE
1785.0;JOULE
2915.4;JOULE
2276.8;JOULE
1833.7;JOULE
2765.7;JOULE
3929.2;JOULE
1778.0;JOULE
3178.0;JOULE
1062.3;JOULE
4681.5;JOULE
4175.7;JOULE
3346.2;JOULE
1536.4;JOULE
3782.4;JOULE
6481.8;JOULE
2855.3;JOULE
4313.4;JOULE
4071.3;JOULE
3949.3;JOULE
3590.7;JOULE
2167.5;JOULE
4977.7;JOULE
5765.299999999999;JOULE
4387.0;JOULE
2875.3999999999996;JOULE
4750.5;JOULE
6652.200000000001;JOULE
1314.8;JOULE
1345.6;JOULE
1198.2;JOULE
2671.0;JOULE
296.5;JOULE
2733.5;JOULE
1549.5;JOULE
1178.1;JOULE
1499.8;JOULE
2510.0;JOULE
4608.5;JOULE
2865.7;JOULE
1.3;HIFI
6.7;HIFI
95.9;HIFI
98.1;HIFI
27.1;HIFI
31.2;HIFI
45.0;HIFI
5.4;HIFI
134.9;HIFI
1.8;HIFI
87.2;HIFI
2.2;HIFI
9.4;HIFI
121.1;HIFI
165.89999999999998;HIFI
139.6;HIFI
30.4;HIFI
63.900000000000006;HIFI
298.5;HIFI
12.6;HIFI
107.1;HIFI
17.2;HIFI
2.0;HIFI
3.1;HIFI
7.6;HIFI
3.0;HIFI
264.2;HIFI
135.7;HIFI
4.6;HIFI
4.1;HIFI
8.7;HIFI
9.6;HIFI
27.0;HIFI
10.399999999999999;HIFI 2
2.7;JET D'ENCRE
9.299999999999999;JET D'ENCRE
34.3;JET D'ENCRE
3.2;JET D'ENCRE
23.3;JET D'ENCRE
5.8;JET D'ENCRE
1.0;JET D'ENCRE
0.5;JET D'ENCRE
10.5;JET D'ENCRE
21.200000000000003;JET D'ENCRE
34.8;JET D'ENCRE
55.2;JET D'ENCRE
0.5;JET D'ENCRE
0.5;JET D'ENCRE
19.2;JET D'ENCRE
2.4;JET D'ENCRE
0.7;JET D'ENCRE
22.6;JET D'ENCRE
1.2;JET D'ENCRE
2.9;JET D'ENCRE
18.5;JET D'ENCRE
16.9;JET D'ENCRE
3.5;JET D'ENCRE
0.2;JET D'ENCRE
0.5;JET D'ENCRE
3.5;JET D'ENCRE
5.6;JET D'ENCRE
1.0;JET D'ENCRE
24.5;JET D'ENCRE
5.3;JET D'ENCRE
17.6;JET D'ENCRE
0.5;LASER
64.2;LASER
0.9;LASER
2.8;LASER
26.4;LASER
100.0;LASER
0.30000000000000004;LASER
2.2;LASER
76.4;HUBLOT
386.5;HUBLOT
20.200000000000003;HUBLOT
166.2;HUBLOT
115.5;HUBLOT
255.5;HUBLOT
115.7;HUBLOT
34.4;HUBLOT
126.1;HUBLOT
503.7;HUBLOT
84.9;HUBLOT
239.7;HUBLOT
94.8;HUBLOT
180.5;HUBLOT
45.6;HUBLOT
141.3;HUBLOT
155.8;HUBLOT
27.0;HUBLOT
271.4;HUBLOT
98.0;HUBLOT
142.3;HUBLOT
117.0;HUBLOT
220.39999999999998;HUBLOT
223.2;HUBLOT
661.3;HUBLOT
278.70000000000005;HUBLOT
164.10000000000002;HUBLOT
49.3;HUBLOT
648.2;HUBLOT
286.7;HUBLOT
508.1;HUBLOT
192.0;HUBLOT
199.5;HUBLOT
250.4;HUBLOT
35.2;HUBLOT
119.0;HUBLOT
277.79999999999995;HUBLOT
202.1;HUBLOT
120.30000000000001;HUBLOT
277.5;HUBLOT
269.29999999999995;HUBLOT
247.3;HUBLOT
208.6;HUBLOT
385.6;HUBLOT
121.2;HUBLOT
882.7;HUBLOT
106.1;HUBLOT
112.1;HUBLOT
29.8;HUBLOT
80.0;HUBLOT
199.8;HUBLOT
102.19999999999999;HUBLOT
116.6;HUBLOT
77.9;HUBLOT
421.6;HUBLOT
251.20000000000002;HUBLOT
212.1;HUBLOT
224.3;HUBLOT
492.4;HUBLOT
323.9;SÉCHANTE
17.1;SÉCHANTE
76.0;SÉCHANTE
416.7;SÉCHANTE
84.4;TOP
118.2;TOP
182.2;TOP
44.2;TOP
160.0;TOP
56.0;TOP
67.0;TOP
353.0;TOP
154.0;TOP
221.4;TOP
264.9;TOP
155.9;TOP
114.19999999999999;TOP
115.5;TOP
100.6;TOP
189.7;TOP
78.4;TOP
360.8;TOP
1554.6999999999998;Aquarium avec chauffage
1642.0;Aquarium avec chauffage
90.30000000000001;Aquarium juste pompe
75.1;Balneo
36.599999999999994;Lit Motorise
52.1;Adoucisseur
28.200000000000003;Adoucisseur
20.8;VÉLO ÉLECTRIQUE
14.6;VÉLO ÉLECTRIQUE
5.199999999999999;VÉLO ÉLECTRIQUE
37.3;VÉLO ÉLECTRIQUE
40.2;VÉLO ÉLECTRIQUE
4.0;ASPIRATEUR À MAIN
69.3;ASPIRATEUR CENTRALISÉ
13.5;ASPIRATEUR CENTRALISÉ
6.4;ASPIRATEUR FILAIRE
30.7;ASPIRATEUR FILAIRE
90.69999999999999;ASPIRATEUR FILAIRE
10.5;ASPIRATEUR RECHARGEABLE
18.4;ASPIRATEUR RECHARGEABLE
8.6;ASPIRATEUR RECHARGEABLE
6.6;ASPIRATEUR RECHARGEABLE
1.7000000000000002;ASPIRATEUR RECHARGEABLE
17.1;ASPIRATEUR RECHARGEABLE
9.6;ASPIRATEUR RECHARGEABLE
6.1;ASPIRATEUR ROBOT
39.4;ASPIRATEUR ROBOT
31.0;ASPIRATEUR ROBOT
12.1;ASPIRATEUR ROBOT
4.4;NETTOYEUR VAPEUR
24.5;ASSISTANT VOCAL
276.5;SERVEUR
152.5;SERVEUR
87.19999999999999;SWITCH ETHERNET
225.2;DÉCODEUR
227.6;DÉCODEUR
195.6;DÉCODEUR
15.9;DÉCODEUR
85.8;DÉCODEUR
1.2;LECTEUR DVD OU BLU RAY
2.0999999999999996;LECTEUR DVD OU BLU RAY
78.6;LECTEUR DVD OU BLU RAY
50.0;LECTEUR DVD OU BLU RAY
1.0;LECTEUR DVD OU BLU RAY
1.3;LECTEUR DVD OU BLU RAY
